实体名,谷歌,百度,有道
"    ""01 Deniz Han [C92] - 2021"",","01 Deniz Han [C92] - 2021,","    ""01丹尼兹汉C92—2021"",","01?Deniz?Han?[C92]?-?2021,   "
"    ""01 Palikir [Pacific / Pacific Forum / ASI 315 Class] - 1990, 3x"",","01 Palikir [Pacific / Pacific Forum / ASI 315 Class] - 1990, 3x,","    ""01帕利基尔太平洋/太平洋论坛/ASI 315级-1990，3x"",","01?Palikir[太平洋/太平洋论坛/?ASI?315级]-?1990年，3,   "
"    ""012 Rais Hadj Mubarek [PL-877EKM Kilo] - 1988"",","012 Rais Hadj Mubarek [PL-877EKM Kilo] - 1988,","    ""012赖斯哈吉穆巴雷克PL-877EKM千克-1988"",","012?Rais?Hadj?mubarak?[PL-877EKM?Kilo]?-?1988,   "
"    ""02 H?meenmaa - 1992"",","02 海门马 - 1992,","    ""02 H?meenma-1992年"",","02?H?meenmaa?-?1992,   "
"    ""02 H?meenmaa - 2009"",","02 海门马 - 2009,","    ""02 H?meenma-2009"",","02?H?meenmaa?-?2009,   "
"    ""022 Rais Hadi Slimane [PL-636M Kilo] - 2011"",","022 Rais Hadi Slimane [PL-636M Kilo] - 2011,","    ""022赖斯哈迪斯利曼PL-636M千克-2011"",","022?Rais?Hadi?Slimane?[PL-636M?Kilo]?-?2011,   "
"    ""03 Lata [Pacific / Pacific Forum / ASI 315 Class] - 1989, 2x"",","03 Lata [Pacific / Pacific Forum / ASI 315 Class] - 1989, 2x,","    ""03拉塔太平洋/太平洋论坛/ASI 315级-1989，2x"",","03?Lata[太平洋/太平洋论坛/?ASI?315级]-?1989年，2,   "
"    ""03 Turunmaa - 1969"",","03 图伦马 - 1969,","    ""03图伦马-1969年"",","03图伦玛-?1969,   "
"    ""03 Turunmaa - 1987"",","03 图伦马 - 1987,","    ""03图伦马-1987"",","03图伦玛-?1987,   "
"    ""05 Gizo [Guardian Class] - 2019"",","05 Gizo [守护者班] - 2019,","    ""05 Gizo Guardian级-2019"",","05?Gizo?[Guardian?Class]?-?2019,   "
"    ""050 Arkoi [Vosper Europatrol 250 Mk1] - 2002, Recommissioned 2015, FFBNW 20mm Oerlikon Mk10"",","050 Arkoi [Vosper Europatrol 250 Mk1] - 2002，2015 年重新调试，FFBNW 20 毫米欧瑞康 Mk10,","    ""050 Arkoi Vosper Europatrol 250 Mk1-2002，2015年重新投入使用，FFBNW 20mm Oerlikon Mk10"",","050?Arkoi?[Vosper?Europatrol?250?Mk1]?-?2002年，2015年重新服役，FFBNW?20mm?Oerlikon?Mk10,   "
"    ""050 Arkoi [Vosper Europatrol 250 Mk1] - 2017"",","050 Arkoi [Vosper Europatrol 250 Mk1] - 2017,","    ""050 Arkoi Vosper Europatrol 250 Mk1-2017年"",","050?Arkoi?[Vosper?Europatrol?250?Mk1]?-?2017,   "
"    ""050 Arkoi [Vosper Europatrol 250 Mk1] - 2017, Radar Replaced"",","050 Arkoi [Vosper Europatrol 250 Mk1] - 2017，更换雷达,","    ""050 Arkoi Vosper Europatrol 250 Mk1-2017，雷达更换"",","050?Arkoi?[Vosper?Europatrol?250?Mk1]?-?2017，雷达更换,   "
"    ""06 Darussalam - 2011"",","06 达鲁萨兰国 - 2011,","    ""06达鲁萨兰国-2011年"",","06达鲁萨兰国-?2011,   "
"    ""060 Fournoi [Saar 4.5, Nirit Upgrade] - 2003, 3x, ASM Removed"",","060 Fournoi [Saar 4.5, Nirit Upgrade] - 2003, 3x, ASM Removed,","    ""060 Fournoi Saar 4.5，Nirit升级-2003，3倍，ASM已删除"",","060?Fournoi?[Saar?4.5,?Nirit?Upgrade]?-?2003,3x,?ASM?Removed,   "
"    ""060 Fournoi [Saar 4.5, Nirit Upgrade] - 2015, 3x, Additional EO/IR Added"",","060 Fournoi [Saar 4.5，Nirit 升级] - 2015，3x，添加了额外的 EO/IR,","    ""060 Fournoi Saar 4.5，Nirit升级-2015年，增加3倍，额外EO/IR"",","060?Fournoi?[Saar?4.5,?Nirit升级]-?2015,3x，额外的EO/IR添加,   "
"    ""060 Fournoi [Saar 4.5, Nirit Upgrade] - 2019, 3x, EOS Upgraded"",","060 Fournoi [Saar 4.5, Nirit Upgrade] - 2019, 3x, EOS Upgraded,","    ""060 Fournoi Saar 4.5，Nirit升级-2019年，3倍，EOS升级"",","060?Fournoi?[Saar?4.5,?Nirit升级]-?2019,3x,?EOS升级,   "
"    ""061 Chang Bogo [Type 209-1200] - 1994"",","061张博戈[209-1200型] - 1994,","    ""061 Chang Bogo 209-1200型-1994"",","061昌保果[209-1200型]-?1994,   "
"    ""061 Chang Bogo [Type 209-1200] - 2001"",","061张博戈[209-1200型]-2001,","    ""061 Chang Bogo 209-1200型-2001"",","061昌宝果[209-1200型]-?2001,   "
"    ""061 Chang Bogo [Type 209-1200] - 2004"",","061张博戈[209-1200型]-2004,","    ""061 Chang Bogo 209-1200型-2004"",","061昌宝果[209-1200型]-?2004,   "
"    ""072 Son Won-Il [Type 214] - 2008"",","072 Son Won-Il [Type 214] - 2008,","    ""072 Son Won Il型号214-2008"",","072?Son?Won-Il[214型]-?2008,   "
"    ""072 Son Won-Il [Type 214] - 2015"",","072 Son Won-Il [Type 214] - 2015,","    ""072 Son Won Il 214型-2015"",","072?Son?Won-Il[214型]-?2015,   "
"    ""072 Son Won-Il [Type 214] - 2020"",","072 Son Won-Il [Type 214] - 2020,","    ""072 Son Won Il 214型-2020型"",","072?Son?Won-Il[214型]-?2020,   "
"    ""09 Daruttaqwa [Darussalam Class] - 2014"",","09 Daruttaqwa [Darussalam Class] - 2014,","    ""09达鲁塔克瓦达鲁萨兰国级-2014"",","09达鲁塔克瓦[达鲁萨兰国等级]-?2014,   "
"    ""090 Gavdos [Stan Patrol 5509] - 2015"",","090 Gavdos [Stan Patrol 5509] - 2015,","    ""090 Gavdos Stan巡逻5509-2015"",","090?Gavdos?[Stan?Patrol?5509]?-?2015,   "
"    ""090 Gavdos [Stan Patrol 5509] - 2015, FFBNW Seahawk LW20K RWS"",","090 Gavdos [Stan Patrol 5509] - 2015，FFBNW 海鹰 LW20K RWS,","    ""090 Gavdos Stan巡逻5509-2015，FFBNW Seahawk LW20K RWS"",","090?Gavdos?[Stan?Patrol?5509]?-?2015,?FFBNW海鹰LW20K?RWS,   "
"    ""1 Uruguay [Mod Commandant Riviere] - 2009, 2x"",","1 乌拉圭 [Mod Commandant Riviere] - 2009，2x,","    ""1乌拉圭国防部司令里维埃尔-2009，2次"",","1乌拉圭[Mod?commander?Riviere]?-?2009,?2,   "
"    ""1-114 [Pr.771 Polnochny B] - 1985"",","1-114 [Pr.771 Polnochny B] - 1985,","    ""1-114 Pr.771波诺奇尼B-1985"",","1?-?114(PR.771?Polnochny?B]?-?1985年,   "
"    ""1-508 [Pr.159AE Petya III] - 1976, 2x"",","1-508 [Pr.159AE Petya III] - 1976，2x,","    ""1-508 Pr.159AE Petya III-1976，2x"",","1?-?508(公关.159AE?Petya?III]?-?1976,?2,   "
"    ""1-8 [Zhuk Pr.1400M Grif] - 1982"",","1-8 [Zhuk Pr.1400M 格里夫] - 1982,","    ""1-8朱克Pr.1400M格里夫-1982"",","1-8?[Zhuk?Pr.1400M?Grif]?-?1982,   "
"    ""10 Al Riffa [FPB-38] - 1983"",","10 阿尔里法 [FPB-38] - 1983,","    ""10 Al-Riffa FPB-38-1983"",","10?Al?Riffa?[FPB-38]?-?1983,   "
"    ""100 ImpG Drop Tank "",","100 ImpG Drop Tank,","    ""100磅液滴箱"",","100?ImpG?Drop?Tank,   "
"    ""100 USG Drop Tank "",","100 USG Drop Tank,","    ""100美格液滴箱"",","100?USG?Drop?Tank,   "
"    ""100 USG Ferry Tank "",","100 USG 渡轮,","    ""100美国政府渡轮舱"",","100美元船坞,   "
"    ""1000 liter Drop Tank "",","1000 升水箱,","    ""1000升液箱"",","1000升空箱,   "
"    ""1000kg GPB (Generic)"",","1000 公斤 GPB（通用）,","    ""1000kg GPB（通用）"",","1000公斤加仑桶(通用),   "
"    ""1000lb LDGP (UCAV)"",","1000lb LDGP (UCAV),","    ""1000磅后勤总成（无人战斗机）"",","1000磅LDGP?(UCAV),   "
"    ""1001 Tahya Misr [FREMM ASW] - 2015, Ex-French"",","1001 Tahya Misr [FREMM ASW] - 2015，前法国,","    ""1001 Tahya Misr FREMM ASW-2015，法国以外"",","1001?Tahya?Misr?[FREMM?ASW]?-?2015，前法国人,   "
"    ""100kg GPB (Generic)"",","100 公斤 GPB（通用）,","    ""100kg GPB（通用）"",","100公斤加仑桶(通用),   "
"    ""100mm 2A70 HEAT (Generic Tank Ammo)"",","100 毫米 2A70 HEAT（通用坦克弹药）,","    ""100mm 2A70热量（普通坦克弹药）"",","100mm?2A70?HEAT(通用坦克弹药),   "
"    ""100mm AP (Generic Tank Ammo)"",","100 毫米 AP（通用坦克弹药）,","    ""100毫米AP（通用坦克弹药）"",","100mm?AP(通用坦克弹药),   "
"    ""100mm HE (Generic Tank Ammo)"",","100 毫米 HE（通用坦克弹药）,","    ""100毫米HE（通用坦克弹药）"",","100mm?HE(通用坦克弹药),   "
"    ""100mm HEAT (Generic Tank Ammo)"",","100mm HEAT（通用坦克弹药）,","    ""100毫米热量（普通坦克弹药）"",","100mm?HEAT(通用坦克弹药),   "
"    ""100mm HEAT-Frag (Generic Tank Ammo)"",","100 毫米 HEAT-Frag（通用坦克弹药）,","    ""100mm热碎片（通用坦克弹药）"",","100mm?HEAT-Frag(通用坦克弹药),   "
"    ""100mm KS-19 Frag "",","100mm KS-19 破片,","    ""100mm KS-19框架"",","100mm?KS-19?Frag,   "
"    ""100mm KS-19 Frag Auto [Sair] (Iran)"",","100mm KS-19 Frag Auto [Sair] (伊朗),","    ""100mm KS-19 Frag Auto Sair（伊朗）"",","100mm?KS-19?Frag?Auto?[Sair](伊朗),   "
"    ""100mm/55 H/PJ-87 HE "",","100mm/55 H/PJ-87 HE,","    ""100mm/55 H/PJ-87 HE"",","100mm/?55h?/PJ-87?HE,   "
"    ""100mm/55 H/PJ-87 HECVT "",","100mm/55 H/PJ-87 HECVT,","    ""100mm/55 H/PJ-87 HECVT"",","100mm/?55h?/PJ-87?HECVT,   "
"    ""100mm/55 H/PJ-87 Twin HE Burst [2 rnds] "",","100 毫米/55 H/PJ-87 双高爆 [2 发],","    ""100mm/55 H/PJ-87双HE爆破2 RND"",","100mm/?55h?/PJ-87双HE爆炸[2?rnds],   "
"    ""100mm/55 H/PJ-87 Twin HECVT Burst [2 rnds] "",","100 毫米/55 H/PJ-87 双 HECVT 连发 [2 发],","    ""100mm/55 H/PJ-87双HECVT爆破2 RND"",","100mm/?55h?/PJ-87双HECVT爆破[2?rnds],   "
"    ""100mm/55 METL 53 HE (German Model 1953)"",","100 毫米/55 METL 53 HE（德国型号 1953）,","    ""100mm/55 METL 53 HE（德国1953型）"",","100mm/55?METL?53?HE(德国1953型),   "
